Container_Number,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
149,"[17610240, 67221914]",44084.0,2469.0,60.0,97.96444444444444,68.58333333333333,100.0,916.0,1131.0,0.0
150,"[42325351, 73041789, 75785562]",43424.0,3571.0,60.0,96.49777777777778,99.19444444444444,100.0,1576.0,29.0,0.0
151,"[37151240, 62639528, 94064110]",44043.0,3598.0,49.0,97.87333333333332,99.94444444444444,81.66666666666667,957.0,2.0,11.0
152,"[19058548, 18468580, 34778476]",44984.0,3339.0,51.0,99.96444444444444,92.75,85.0,16.0,261.0,9.0
153,"[34284905, 82198157, 82360815, 91646011]",44992.0,2885.0,59.0,99.98222222222222,80.13888888888889,98.33333333333331,8.0,715.0,1.0
154,"[42239109, 75655210, 75675949]",43728.0,3359.0,60.0,97.17333333333332,93.30555555555556,100.0,1272.0,241.0,0.0
155,"[49625080, 88721169, 91612246]",44906.0,3581.0,31.0,99.7911111111111,99.4722222222222,51.66666666666667,94.0,19.0,29.0
156,"[11381536, 36314564, 55028239]",43245.0,3544.0,60.0,96.1,98.44444444444444,100.0,1755.0,56.0,0.0
157,"[46691434, 73644768, 83943248]",43481.0,3593.0,47.0,96.62444444444444,99.80555555555556,78.33333333333333,1519.0,7.0,13.0
158,"[57590712, 82306983, 91438554]",44843.0,3553.0,54.0,99.6511111111111,98.69444444444444,90.0,157.0,47.0,6.0
159,"[10142046, 41659420, 45959572, 74677479]",44677.0,2010.0,58.0,99.28222222222225,55.833333333333336,96.66666666666669,323.0,1590.0,2.0
160,"[91749539, 65247190, 34528642, 29214309, 24769811]",44974.0,3485.0,60.0,99.94222222222224,96.80555555555556,100.0,26.0,115.0,0.0
161,"[50135985, 89843404]",43647.0,3340.0,32.0,96.99333333333333,92.7777777777778,53.333333333333336,1353.0,260.0,28.0
162,"[93047688, 94700524]",43470.0,3513.0,44.0,96.6,97.58333333333331,73.33333333333333,1530.0,87.0,16.0
163,"[35855033, 29783510, 83356749]",43348.0,3582.0,51.0,96.32888888888888,99.5,85.0,1652.0,18.0,9.0
164,"[11287205, 22000216, 28023503]",44753.0,3479.0,56.0,99.45111111111112,96.63888888888889,93.33333333333331,247.0,121.0,4.0
165,"[29800110, 29841919]",44278.0,3042.0,47.0,98.39555555555556,84.5,78.33333333333333,722.0,558.0,13.0
166,"[43648566, 47572136]",42423.0,3545.0,38.0,94.27333333333333,98.47222222222224,63.33333333333333,2577.0,55.0,22.0
167,"[39016579, 37880472, 94386795]",41941.0,3523.0,59.0,93.20222222222222,97.86111111111111,98.33333333333331,3059.0,77.0,1.0
168,"[25745413, 51959511, 76899081]",44751.0,2978.0,59.0,99.44666666666669,82.72222222222221,98.33333333333331,249.0,622.0,1.0
169,"[30648749, 13498139, 18069445, 92026032]",42850.0,3500.0,35.0,95.2222222222222,97.2222222222222,58.333333333333336,2150.0,100.0,25.0
170,"[90395250, 57235304, 84616750]",43145.0,3563.0,51.0,95.87777777777777,98.9722222222222,85.0,1855.0,37.0,9.0
171,"[74224322, 84076063]",44489.0,1490.0,59.0,98.86444444444444,41.388888888888886,98.33333333333331,511.0,2110.0,1.0
172,"[55707924, 21129473, 66034910]",37876.0,3514.0,59.0,84.16888888888889,97.61111111111111,98.33333333333331,7124.0,86.0,1.0
173,"[94230879, 55175927]",43820.0,3209.0,50.0,97.37777777777778,89.13888888888889,83.33333333333334,1180.0,391.0,10.0
174,"[41312740, 48823764]",44198.0,2931.0,53.0,98.21777777777778,81.41666666666667,88.33333333333333,802.0,669.0,7.0
175,"[94077489, 25485706, 91780199]",44551.0,3486.0,42.0,99.00222222222224,96.83333333333334,70.0,449.0,114.0,18.0
176,"[38284690, 33846915]",44579.0,2924.0,48.0,99.06444444444443,81.22222222222221,80.0,421.0,676.0,12.0
177,"[92435895, 83650563, 40901354]",44522.0,3410.0,51.0,98.93777777777778,94.7222222222222,85.0,478.0,190.0,9.0
178,"[41051951, 89521153]",44229.0,3387.0,51.0,98.28666666666666,94.08333333333331,85.0,771.0,213.0,9.0
179,"[87249409, 78723986, 76109826]",44734.0,3329.0,46.0,99.4088888888889,92.47222222222224,76.66666666666667,266.0,271.0,14.0
180,"[20671285, 56892219, 73944561]",44971.0,3379.0,58.0,99.93555555555557,93.8611111111111,96.66666666666669,29.0,221.0,2.0
181,"[15197796, 96757066]",43584.0,3379.0,42.0,96.85333333333334,93.8611111111111,70.0,1416.0,221.0,18.0
182,"[86326745, 51374865, 45687868]",43382.0,3577.0,52.0,96.40444444444444,99.36111111111111,86.66666666666667,1618.0,23.0,8.0
183,"[58009674, 43791101]",40994.0,3526.0,52.0,91.09777777777778,97.94444444444444,86.66666666666667,4006.0,74.0,8.0
184,"[70260425, 31113424]",44241.0,3125.0,33.0,98.31333333333332,86.80555555555556,55.00000000000001,759.0,475.0,27.0
185,"[38067641, 51236342]",43534.0,3039.0,55.0,96.74222222222222,84.41666666666666,91.66666666666666,1466.0,561.0,5.0
186,"[20830316, 85970836, 83528024]",44349.0,3569.0,37.0,98.55333333333334,99.13888888888889,61.66666666666667,651.0,31.0,23.0
187,"[37730242, 33758453, 16303914]",43649.0,3571.0,60.0,96.99777777777778,99.19444444444444,100.0,1351.0,29.0,0.0
188,"[35061105, 54188577, 86187991]",44623.0,3290.0,34.0,99.1622222222222,91.38888888888889,56.66666666666666,377.0,310.0,26.0
189,"[75595311, 29597752]",44311.0,3483.0,35.0,98.46888888888888,96.75,58.333333333333336,689.0,117.0,25.0
190,"[24746651, 72659241]",44845.0,1599.0,58.0,99.65555555555557,44.41666666666666,96.66666666666669,155.0,2001.0,2.0
191,"[93765422, 93864917]",44237.0,3366.0,49.0,98.30444444444446,93.5,81.66666666666667,763.0,234.0,11.0
192,"[22384445, 85832094]",42085.0,3510.0,57.0,93.5222222222222,97.5,95.0,2915.0,90.0,3.0
193,"[77742641, 92661595, 89884811]",40875.0,2726.0,57.0,90.83333333333331,75.72222222222223,95.0,4125.0,874.0,3.0
194,"[49655822, 47362460]",43344.0,3555.0,28.0,96.32,98.75,46.66666666666666,1656.0,45.0,32.0
195,"[39967982, 11093440]",44990.0,3356.0,58.0,99.97777777777776,93.2222222222222,96.66666666666669,10.0,244.0,2.0
196,"[78870693, 69069164]",44843.0,3153.0,39.0,99.6511111111111,87.58333333333333,65.0,157.0,447.0,21.0
197,"[67915403, 72726403]",38471.0,3586.0,52.0,85.49111111111111,99.6111111111111,86.66666666666667,6529.0,14.0,8.0
198,"[49942201, 28949197]",44366.0,2637.0,53.0,98.5911111111111,73.25,88.33333333333333,634.0,963.0,7.0
199,"[75645620, 54884953, 45255933]",44447.0,3178.0,52.0,98.77111111111113,88.27777777777777,86.66666666666667,553.0,422.0,8.0
200,"[71315887, 80485111, 40701903]",44899.0,3514.0,42.0,99.77555555555556,97.61111111111111,70.0,101.0,86.0,18.0
