Container,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
123,"[17371596, 35305647, 59666267, 73956919]",44814,3534,54,99.58666666666667,98.16666666666669,90,186,66,6
124,"[29526361, 45078876, 69735155]",43870,3402,31,97.48888889,94.5,51.66666666666667,1130,198,29
125,"[11194976, 18388764, 27969471, 28400953]",44720,3559,60,99.37777777777778,98.86111111111111,100,280,41,0
126,"[11513775, 20852328, 31163789]",43157,2378,60,95.90444444444444,66.05555555555556,100,1843,1222,0
127,"[11688610, 11702514, 17291648]",43323,3578,56,96.27333333333333,99.38888889,93.33333333333331,1677,22,4
128,"[12186241, 17788442]",43653,3570,54,97.00666666666666,99.16666666666669,90,1347,30,6
129,"[12534145, 14686010, 15967146]",44580,3518,47,99.06666666666666,97.72222222222224,78.33333333333333,420,82,13
130,"[14578188, 25302363, 25966927]",44357,3565,60,98.57111111111112,99.02777778,100,643,35,0
131,"[14933849, 26331979, 27578851]",44883,3424,35,99.74,95.11111111111111,58.333333333333336,117,176,25
132,[15868586],43475,3564,38,96.61111111111111,99,63.33333333333333,1525,36,22
133,"[11818403, 17285648, 20187414]",44767,3330,58,99.48222222222223,92.5,96.66666666666669,233,270,2
134,"[18367999, 20277996, 28485552]",44993,3227,45,99.98444444444443,89.63888888888889,75,7,373,15
135,"[14003620, 18751390, 25386036]",44370,3596,8,98.6,99.88888889,13.333333333333334,630,4,52
136,"[19228099, 30762652]",44970,1445,36,99.93333333333332,40.13888888888889,60,30,2155,24
137,"[19296395, 28063028]",44926,3596,13,99.83555555555556,99.88888889,21.666666666666668,74,4,47
138,"[19741756, 30429701]",35503,3511,60,78.89555555555555,97.52777778,100,9497,89,0
139,"[16960941, 19824670, 20716549]",44474,3351,60,98.83111111111111,93.08333333333331,100,526,249,0
140,"[13942178, 18093383, 20630185]",31205,3546,60,69.34444444444445,98.5,100,13795,54,0
141,"[18604611, 21221160, 21360765]",44314,3585,58,98.47555555555556,99.58333333333331,96.66666666666669,686,15,2
142,"[10372752, 22048643, 26001203]",44682,3212,54,99.29333333333334,89.22222222222223,90,318,388,6
143,"[13122549, 15044070, 22829343]",43746,3582,36,97.21333333333332,99.5,60,1254,18,24
144,"[23614028, 23777783, 30929721]",44956,3514,54,99.90222222222222,97.61111111111111,90,44,86,6
145,"[10456545, 19697554, 24216040]",44832,3276,49,99.62666666666668,91,81.66666666666667,168,324,11
146,"[16121781, 23010677, 24306251]",44950,3541,59,99.88888889,98.36111111111111,98.33333333333331,50,59,1
147,"[24429507, 30499964, 31234103]",44951,3541,53,99.89111111111112,98.36111111111111,88.33333333333333,49,59,7
148,"[24787537, 26491989, 28423201]",40829,3446,60,90.73111111,95.72222222,100,4171,154,0
